淮南市,2333896,213885,0.975804755,淮南市,安徽省,三线及以下,116.7350941,32.75636334,华东
滁州市,3937868,251302,0.978718832,滁州市,安徽省,三线及以下,118.1026584,32.54413339,华东
芜湖市,2263123,355575,0.975633833,芜湖市,安徽省,三线及以下,118.3302847,31.07383196,华东
蚌埠市,3164467,229624,0.977541546,蚌埠市,安徽省,三线及以下,117.3257471,33.10860664,华东
铜陵市,723958,99104,0.970919438,铜陵市,安徽省,三线及以下,117.8741142,30.92724055,华东
阜阳市,7599913,402652,0.979518294,阜阳市,安徽省,三线及以下,115.7047583,32.91701003,华东
马鞍山市,1366302,196386,0.973546994,马鞍山市,安徽省,三线及以下,118.6193045,31.53347863,华东
黄山市,1358980,108876,0.968955509,黄山市,安徽省,三线及以下,118.0713362,29.90680843,华东
东营市,2035338,238981,0.969236048,东营市,山东省,三线及以下,118.5956195,37.61083827,华东
临沂市,10039440,708148,0.97771511,临沂市,山东省,三线及以下,118.2807116,35.30794564,华东
威海市,2804771,356763,0.972541996,威海市,山东省,三线及以下,121.9781849,37.11987896,华东
德州市,5568235,341078,0.976143287,德州市,山东省,三线及以下,116.6442272,37.24634775,华东
日照市,2801013,239192,0.976955751,日照市,山东省,三线及以下,119.1319212,35.58560256,华东
枣庄市,3729140,264343,0.978130686,枣庄市,山东省,三线及以下,117.3930074,34.91541396,华东
泰安市,5494207,399374,0.975767075,泰安市,山东省,三线及以下,117.0266052,36.00151571,华东
济南市,6813984,1324606,0.971758395,济南市,山东省,三线及以下,117.0876808,36.73761133,华东
济宁市,8081905,578594,0.977016699,济宁市,山东省,三线及以下,116.732557,35.37502122,华东
淄博市,4530597,425238,0.971557104,淄博市,山东省,三线及以下,118.0546836,36.60824771,华东
滨州市,3748474,267228,0.975459158,滨州市,山东省,三线及以下,117.8270029,37.49984639,华东
潍坊市,9086241,811872,0.974451638,潍坊市,山东省,三线及以下,119.0719382,36.53989565,华东
烟台市,6968202,789864,0.973901836,烟台市,山东省,三线及以下,120.8058482,37.23512186,华东
聊城市,5789863,387735,0.978627155,聊城市,山东省,三线及以下,115.8790293,36.45605814,华东
莱芜市,1298529,84461,0.974449746,莱芜市,山东省,三线及以下,117.6613222,36.27344462,华东
菏泽市,8287693,456197,0.98022784,菏泽市,山东省,三线及以下,115.6919452,35.15140822,华东
青岛市,8715087,1499189,0.967686529,青岛市,山东省,二线,120.1476135,36.4548582,华东
临汾市,4316610,304014,0.979060175,临汾市,山西省,三线及以下,111.377891,36.22611675,华北
吕梁市,3727068,248544,0.980289204,吕梁市,山西省,三线及以下,111.2618363,37.6761215,华北
大同市,3318054,335666,0.97467423,大同市,山西省,三线及以下,113.7229247,39.89899391,华北
太原市,4201592,948679,0.972199237,太原市,山西省,三线及以下,112.3149516,37.95930246,华北
忻州市,3067503,243901,0.981668792,忻州市,山西省,三线及以下,112.4060364,38.88342609,华北
晋中市,3249425,343649,0.979089129,晋中市,山西省,三线及以下,112.9581588,37.32698633,华北
晋城市,2279146,184867,0.978238409,晋城市,山西省,三线及以下,112.7061753,35.6106058,华北
朔州市,1714857,142987,0.982019344,朔州市,山西省,三线及以下,112.6408073,39.6173317,华北
运城市,5134779,317931,0.977633512,运城市,山西省,三线及以下,111.0614515,35.18644206,华北
长治市,3334565,241167,0.977716686,长治市,山西省,三线及以下,112.9171215,36.47523256,华北
阳泉市,1368502,133258,0.979010641,阳泉市,山西省,三线及以下,113.4979246,38.06342104,华北
东莞市,8220207,1894684,0.969029136,东莞市,广东省,二线,113.8826309,22.93782063,华南
中山市,3121275,705794,0.970355373,中山市,广东省,三线及以下,113.3770082,22.52087327,华南
云浮市,2367154,132373,0.974375439,云浮市,广东省,三线及以下,111.7944766,22.81590148,华南
佛山市,7197394,1270019,0.969426442,佛山市,广东省,三线及以下,112.9458228,23.00680034,华南
广州市,12701948,3819075,0.965932588,广州市,广东省,一线,113.5319653,23.3606149,华南
惠州市,4598402,794066,0.973765405,惠州市,广东省,三线及以下,114.4989208,23.24277907,华南
揭阳市,5884347,421557,0.977687478,揭阳市,广东省,三线及以下,116.1179165,23.33617115,华南
梅州市,4238461,266358,0.976032257,梅州市,广东省,三线及以下,116.0796756,24.20281097,华南
汕头市,5389328,599195,0.975974432,汕头市,广东省,三线及以下,116.5816626,23.33381796,华南
汕尾市,2935469,198458,0.977168973,汕尾市,广东省,三线及以下,115.5334871,23.01525066,华南
江门市,4450703,436611,0.972183477,江门市,广东省,三线及以下,112.6685228,22.28538094,华南
河源市,2950195,201809,0.975902958,河源市,广东省,三线及以下,114.9577855,24.04386422,华南
深圳市,10358381,3665388,0.964547,深圳市,广东省,一线,114.1262885,22.65538519,华南
清远市,3698412,265220,0.974059272,清远市,广东省,三线及以下,112.8775328,24.31301205,华南
湛江市,6994832,399565,0.975493349,湛江市,广东省,三线及以下,110.1544892,21.09635897,华南
潮州市,2669466,248120,0.976559729,潮州市,广东省,三线及以下,116.7716083,23.79817804,华南
珠海市,1562530,510020,0.965391553,珠海市,广东省,三线及以下,113.3624458,22.18169688,华南
肇庆市,3916467,282980,0.973100572,肇庆市,广东省,三线及以下,112.2052729,23.53893482,华南
茂名市,5817494,288816,0.973024348,茂名市,广东省,三线及以下,110.9491438,22.01466985,华南
阳江市,2421748,164871,0.972839371,阳江市,广东省,三线及以下,111.7713339,22.04011969,华南
韶关市,2826246,216356,0.974306236,韶关市,广东省,三线及以下,113.772887,24.81895611,华南
北海市,1539251,159027,0.970055399,北海市,广西壮族自治区,三线及以下,109.3368991,21.66027996,华南
南宁市,6658742,976461,0.967787756,南宁市,广西壮族自治区,三线及以下,108.4632063,23.05716741,华南
崇左市,1994285,113931,0.96619884,崇左市,广西壮族自治区,三线及以下,107.2728101,22.50273226,华南
来宾市,2099711,92648,0.973458682,来宾市,广西壮族自治区,三线及以下,109.4113317,23.85475831,华南
柳州市,3758704,348427,0.968621835,柳州市,广西壮族自治区,三线及以下,109.37165,24.94606866,华南
桂林市,4747963,414508,0.971976415,桂林市,广西壮族自治区,三线及以下,110.5131182,25.3526455,华南
梧州市,2882200,147356,0.974056028,梧州市,广西壮族自治区,三线及以下,110.9905607,23.48018285,华南
河池市,3369251,144144,0.969988345,河池市,广西壮族自治区,三线及以下,107.8399032,24.64243899,华南
玉林市,5487368,261661,0.974986719,玉林市,广西壮族自治区,三线及以下,110.1806563,22.44077158,华南
百色市,3466758,167270,0.969348957,百色市,广西壮族自治区,三线及以下,106.2869708,23.98603926,华南
贵港市,4118808,167810,0.974226804,贵港市,广西壮族自治区,三线及以下,109.9967655,23.307615,华南
贺州市,1954072,98061,0.974444478,贺州市,广西壮族自治区,三线及以下,111.3619347,24.35988459,华南
钦州市,3079721,146932,0.973797403,钦州市,广西壮族自治区,三线及以下,109.0144042,22.17413012,华南
防城港市,866927,80496,0.967240608,防城港市,广西壮族自治区,三线及以下,108.0101667,21.87255978,华南
乌鲁木齐市,3112559,294885,0.874917341,乌鲁木齐市,新疆维吾尔族自治区,三线及以下,87.77782078,43.7275786,西北
五家渠市,96436,0,0,五家渠市,新疆维吾尔族自治区,三线及以下,87.55596805,44.36113376,西北
克拉玛依市,391008,35906,0.861777976,克拉玛依市,新疆维吾尔族自治区,三线及以下,85.16374465,45.441068,西北
吐鲁番市,622903,15665,0.876476221,吐鲁番市,新疆维吾尔族自治区,三线及以下,89.83314598,42.38762156,西北
哈密市,572400,33255,0.886002105,哈密市,新疆维吾尔族自治区,三线及以下,93.5214598,43.02093808,西北
图木舒克市,135727,0,0,图木舒克市,新疆维吾尔族自治区,三线及以下,79.18845937,39.88244904,西北
石河子市,380130,0,0,石河子市,新疆维吾尔族自治区,三线及以下,86.03266111,44.30080486,西北
阿拉尔市,158593,0,0,阿拉尔市,新疆维吾尔族自治区,三线及以下,81.280298,40.60883744,西北
南京市,8003744,1694185,0.95982316,南京市,江苏省,二线,118.8431577,31.9256626,华东
南通市,7283622,706499,0.968895922,南通市,江苏省,三线及以下,121.0097232,32.19949259,华东
宿迁市,4719178,266502,0.969095917,宿迁市,江苏省,三线及以下,118.5185473,33.78408031,华东
常州市,4592431,680085,0.969359712,常州市,江苏省,三线及以下,119.6275959,31.62737265,华东
徐州市,8577225,649596,0.970372355,徐州市,江苏省,三线及以下,117.5155952,34.35792623,华东
扬州市,4460066,453370,0.969148819,扬州市,江苏省,三线及以下,119.4729443,32.73703251,华东
无锡市,6374399,1015138,0.966996605,无锡市,江苏省,三线及以下,120.0729401,31.54704863,华东
泰州市,4618937,346725,0.9717038,泰州市,江苏省,三线及以下,120.0533921,32.57920895,华东
淮安市,4801662,349223,0.97151104,淮安市,江苏省,三线及以下,118.9612927,33.35368296,华东
盐城市,7262200,489364,0.972302826,盐城市,江苏省,三线及以下,120.162446,33.52457195,华东
苏州市,10459890,2164041,0.969149845,苏州市,江苏省,二线,120.7430227,31.41391547,华东
连云港市,4393482,320186,0.973693416,连云港市,江苏省,三线及以下,119.1324195,34.52981627,华东
镇江市,3114105,409419,0.967654164,镇江市,江苏省,三线及以下,119.4531811,32.0160262,华东
上饶市,6579747,426033,0.978975807,上饶市,江西省,三线及以下,117.4714047,28.77365841,华中
九江市,4728778,435093,0.978708,九江市,江西省,三线及以下,115.4370636,29.32514679,华中
南昌市,5042566,1133583,0.976948313,南昌市,江西省,三线及以下,116.0256984,28.65984184,华中
吉安市,4810339,300684,0.980055474,吉安市,江西省,三线及以下,114.8224839,26.97196863,华中
宜春市,5419591,346005,0.98067658,宜春市,江西省,三线及以下,114.9724225,28.30590511,华中
抚州市,3912307,262886,0.981497683,抚州市,江西省,三线及以下,116.4338803,27.50791589,华中
新余市,1138874,102382,0.976411869,新余市,江西省,三线及以下,114.8514443,27.84510274,华中
景德镇市,1587477,167291,0.978612119,景德镇市,江西省,三线及以下,117.2708851,29.30768874,华中
萍乡市,1854515,141501,0.977392386,萍乡市,江西省,三线及以下,113.9029998,27.51234956,华中
赣州市,8368447,648983,0.978692816,赣州市,江西省,三线及以下,115.2705495,25.70750783,华中
鹰潭市,1125156,99787,0.980067544,鹰潭市,江西省,三线及以下,117.1079945,28.22377781,华中
保定市,11194382,871743,0.974456921,保定市,河北省,三线及以下,115.1701109,39.02069495,华北
唐山市,7577289,694058,0.973716894,唐山市,河北省,三线及以下,118.3353402,39.75272648,华北
廊坊市,4358839,654060,0.969027306,廊坊市,河北省,三线及以下,116.6262747,39.2570105,华北
张家口市,4345485,378607,0.974844628,张家口市,河北省,三线及以下,115.031463,40.86153018,华北
承德市,3473201,260506,0.971033297,承德市,河北省,三线及以下,117.5523625,41.34311891,华北
沧州市,7134062,529138,0.97557348,沧州市,河北省,三线及以下,116.7490631,38.26459654,华北
石家庄市,10163788,1270231,0.975693398,石家庄市,河北省,三线及以下,114.4402371,38.13159084,华北
秦皇岛市,2987605,336372,0.973273638,秦皇岛市,河北省,三线及以下,119.1839067,40.08709955,华北
衡水市,4340773,271716,0.978790355,衡水市,河北省,三线及以下,115.8239009,37.76137575,华北
邢台市,7104103,412962,0.979453315,邢台市,河北省,三线及以下,114.8153213,37.21273351,华北
邯郸市,9174683,535820,0.976932552,邯郸市,河北省,三线及以下,114.5430155,36.55331222,华北
三门峡市,2234018,136757,0.979752408,三门峡市,河南省,三线及以下,111.103953,34.35985068,华中
信阳市,6109106,415726,0.980614636,信阳市,河南省,三线及以下,114.8832978,32.08176663,华中
南阳市,10263660,491513,0.979711625,南阳市,河南省,三线及以下,112.2857591,33.04342352,华中
周口市,8953793,428532,0.982839088,周口市,河南省,三线及以下,114.8780189,33.72186816,华中
商丘市,7362975,419280,0.981597023,商丘市,河南省,三线及以下,115.7000885,34.28896659,华中
安阳市,5173188,323457,0.980658944,安阳市,河南省,三线及以下,114.3542936,35.87710753,华中
平顶山市,4904701,287640,0.979171882,平顶山市,河南省,三线及以下,113.0122368,33.79528117,华中
开封市,4676483,313168,0.980761125,开封市,河南省,三线及以下,114.5353417,34.60455396,华中
新乡市,5708191,451030,0.980276257,新乡市,河南省,三线及以下,114.0874318,35.26444085,华中
洛阳市,6549941,580566,0.978350437,洛阳市,河南省,三线及以下,112.0293745,34.29015318,华中
漯河市,2544266,171812,0.979582334,漯河市,河南省,三线及以下,113.8996087,33.65490507,华中
濮阳市,3598740,220366,0.977841409,濮阳市,河南省,三线及以下,115.2779497,35.80784827,华中
焦作市,3540101,278534,0.979542892,焦作市,河南省,三线及以下,112.8933063,35.11036608,华中
许昌市,4307488,278441,0.979241563,许昌市,河南省,三线及以下,113.7092459,34.07237613,华中
郑州市,8627089,2011725,0.976181635,郑州市,河南省,二线,113.469807,34.62733778,华中
驻马店市,7231234,381747,0.982286698,驻马店市,河南省,三线及以下,114.1510434,32.92304481,华中
鹤壁市,1569208,98290,0.981727541,鹤壁市,河南省,三线及以下,114.3095257,35.72276298,华中
丽水市,2116957,206535,0.97306994,丽水市,浙江省,三线及以下,119.5123241,28.19895335,华东
台州市,5968838,643824,0.972772062,台州市,浙江省,三线及以下,121.1010596,28.77733897,华东
嘉兴市,4501657,749490,0.966047579,嘉兴市,浙江省,三线及以下,120.7519286,30.65130795,华东
宁波市,7605689,1260155,0.969516448,宁波市,浙江省,二线,121.4754904,29.70487361,华东
杭州市,8700373,2416790,0.962520947,杭州市,浙江省,二线,119.4688242,29.89988923,华东
温州市,9122102,1112183,0.969578747,温州市,浙江省,三线及以下,120.4308627,27.90364982,华东
湖州市,2893542,391892,0.967141457,湖州市,浙江省,三线及以下,119.8682386,30.74448199,华东
绍兴市,4912239,631132,0.970589354,绍兴市,浙江省,三线及以下,120.6317962,29.71940125,华东
舟山市,1121261,167719,0.969621808,舟山市,浙江省,三线及以下,122.1873011,30.08805463,华东
衢州市,2122661,174378,0.970867885,衢州市,浙江省,三线及以下,118.6745852,28.93427537,华东
金华市,5361572,816138,0.971464385,金华市,浙江省,三线及以下,119.9524905,29.11658192,华东
万宁市,545597,0,0,万宁市,海南省,三线及以下,110.280715,18.83545499,华南
三亚市,685408,166714,0.947748839,三亚市,海南省,三线及以下,109.4184206,18.39377265,华南
东方市,408309,0,0,东方市,海南省,三线及以下,108.8400646,18.99371394,华南
五指山市,104119,0,0,五指山市,海南省,三线及以下,109.50708,18.826926,华南
儋州市,932356,52581,0.954127917,儋州市,海南省,三线及以下,109.403966,19.56665127,华南
文昌市,537426,0,0,文昌市,海南省,三线及以下,110.769216,19.74705019,华南
海口市,2046170,416528,0.950101794,海口市,海南省,三线及以下,110.4209235,19.8309224,华南
琼海市,483217,0,0,琼海市,海南省,三线及以下,110.4028228,19.21027708,华南
仙桃市,1175085,0,0,仙桃市,湖北省,三线及以下,113.3754345,30.29042631,华中
十堰市,3340841,230410,0.975929864,十堰市,湖北省,三线及以下,110.4399352,32.45573228,华中
咸宁市,2462583,197350,0.97799848,咸宁市,湖北省,三线及以下,114.1751731,29.62364693,华中
天门市,1418913,0,0,天门市,湖北省,三线及以下,113.1137711,30.64531272,华中
孝感市,4814542,292758,0.979344715,孝感市,湖北省,三线及以下,113.8775163,31.11750893,华中
宜昌市,4059686,314282,0.971738757,宜昌市,湖北省,三线及以下,111.1340098,30.74609869,华中
武汉市,9785388,2465532,0.971563541,武汉市,湖北省,二线,114.3414784,30.6229223,华中
潜江市,946277,0,0,潜江市,湖北省,三线及以下,112.7566364,30.33939635,华中
荆州市,5691707,363940,0.976803869,荆州市,湖北省,三线及以下,112.5702512,29.99666313,华中
荆门市,2873687,182093,0.975616855,荆门市,湖北省,三线及以下,112.6072325,31.06848211,华中
襄阳市,5500307,355168,0.976582913,襄阳市,湖北省,三线及以下,111.9344165,31.93092434,华中
鄂州市,1048668,100943,0.978621598,鄂州市,湖北省,三线及以下,114.7553195,30.32728729,华中
随州市,2162222,123441,0.980176765,随州市,湖北省,三线及以下,113.4238542,31.82785744,华中
黄冈市,6162069,375374,0.980113167,黄冈市,湖北省,三线及以下,115.3416951,30.71470107,华中
黄石市,2429318,223821,0.978268348,黄石市,湖北省,三线及以下,115.0250611,29.92696841,华中
娄底市,3784634,215694,0.980180255,娄底市,湖南省,三线及以下,111.6143073,27.73921929,华中
岳阳市,5476084,373145,0.978796446,岳阳市,湖南省,三线及以下,113.2554097,29.06507552,华中
常德市,5714623,345068,0.976152526,常德市,湖南省,三线及以下,111.5213156,29.29858671,华中
张家界市,1478149,92113,0.974694126,张家界市,湖南省,三线及以下,110.526627,29.3927384,华中
怀化市,4741673,246287,0.9780703,怀化市,湖南省,三线及以下,110.0708331,27.54288528,华中
株洲市,3857100,339836,0.976994786,株洲市,湖南省,三线及以下,113.5181212,27.11895117,华中
永州市,5194275,260109,0.980377457,永州市,湖南省,三线及以下,111.7298808,25.77251807,华中
湘潭市,2752171,254348,0.978836083,湘潭市,湖南省,三线及以下,112.6026484,27.73187081,华中
益阳市,4307933,236093,0.980283193,益阳市,湖南省,三线及以下,111.9474073,28.57426944,华中
衡阳市,7148344,416424,0.979984343,衡阳市,湖南省,三线及以下,112.5736255,26.79406074,华中
邵阳市,7071735,308237,0.980369002,邵阳市,湖南省,三线及以下,110.8717473,26.91211758,华中
郴州市,4583531,276888,0.978912051,郴州市,湖南省,三线及以下,113.1360439,25.81565514,华中
长沙市,7040952,1771161,0.974511634,长沙市,湖南省,二线,113.1517852,28.22811967,华中
兰州市,3616163,484067,0.918079522,兰州市,甘肃省,三线及以下,103.6391783,36.35962647,西北
嘉峪关市,231853,31649,0.916837815,嘉峪关市,甘肃省,三线及以下,98.20047233,39.81436096,西北
天水市,3262549,112199,0.934339878,天水市,甘肃省,三线及以下,105.7361012,34.6482842,西北
定西市,2698624,74110,0.932775604,定西市,甘肃省,三线及以下,104.450101,35.11719873,西北
平凉市,2068033,75001,0.92901428,平凉市,甘肃省,三线及以下,106.6445439,35.30805837,西北
庆阳市,2211191,88280,0.929678296,庆阳市,甘肃省,三线及以下,107.5938005,36.16337578,西北
张掖市,1199515,59779,0.931363857,张掖市,甘肃省,三线及以下,99.87731431,38.94458525,西北
武威市,1815059,59527,0.929242193,武威市,甘肃省,三线及以下,103.0581042,38.16951354,西北
白银市,1708752,63526,0.920961496,白银市,甘肃省,三线及以下,104.6280812,36.6115386,西北
酒泉市,1095947,72098,0.914852007,酒泉市,甘肃省,三线及以下,96.02814228,40.23975649,西北
金昌市,464050,0,0,金昌市,甘肃省,三线及以下,102.0709634,38.43469698,西北
陇南市,2567718,74681,0.933624349,陇南市,甘肃省,三线及以下,105.2182053,33.59532306,西北
三明市,2503388,239865,0.975719676,三明市,福建省,三线及以下,117.398811,26.29879729,华东
南平市,2645548,271671,0.975540267,南平市,福建省,三线及以下,118.143516,27.33816791,华东
厦门市,3531347,1017549,0.969678119,厦门市,福建省,三线及以下,118.1160128,24.67721777,华东
宁德市,2821996,322424,0.977383818,宁德市,福建省,三线及以下,119.470195,26.97637422,华东
泉州市,8128533,1083319,0.976064299,泉州市,福建省,三线及以下,118.2591178,25.20087043,华东
漳州市,4809983,454650,0.976518201,漳州市,福建省,三线及以下,117.4404255,24.36931128,华东
福州市,7115369,1446405,0.972955016,福州市,福建省,三线及以下,119.1586167,26.06253576,华东
莆田市,2778508,335748,0.976568736,莆田市,福建省,三线及以下,118.878169,25.45767231,华东
龙岩市,2559545,237647,0.976574499,龙岩市,福建省,三线及以下,116.7403831,25.29291237,华东
山南市,328990,7893,0.835930571,山南市,西藏自治区,三线及以下,92.26510013,28.30432636,西北
拉萨市,559423,56325,0.838988016,拉萨市,西藏自治区,三线及以下,91.08337684,30.03514483,西北
昌都市,657505,8635,0.840995947,昌都市,西藏自治区,三线及以下,97.02401684,30.78451621,西北
林芝市,195109,11799,0.838206628,林芝市,西藏自治区,三线及以下,95.22708702,29.20534153,西北
那曲市,462381,4632,0.825129534,那曲市,西藏自治区,三线及以下,89.23383962,32.74789924,西北
六盘水市,2851332,136726,0.967460468,六盘水市,贵州省,三线及以下,104.8898693,26.13315779,西南
安顺市,2297612,132604,0.968552985,安顺市,贵州省,三线及以下,105.9486847,25.99422388,西南
毕节市,6537498,215420,0.96914864,毕节市,贵州省,三线及以下,105.2100555,27.06823352,西南
贵阳市,4322611,772534,0.960519537,贵阳市,贵州省,三线及以下,106.7054276,26.84043657,西南
遵义市,6127082,357300,0.965253289,遵义市,贵州省,三线及以下,107.0827693,28.16753214,西南
铜仁市,3093204,160840,0.972177319,铜仁市,贵州省,三线及以下,108.5412314,27.97073801,西南
丹东市,2444697,180891,0.972430911,丹东市,辽宁省,三线及以下,124.4016989,40.54685802,东北
大连市,6690432,1092592,0.967257677,大连市,辽宁省,三线及以下,122.2120159,39.60229249,东北
抚顺市,2138090,201554,0.970181688,抚顺市,辽宁省,三线及以下,124.6556681,41.83372502,东北
朝阳市,3044641,177117,0.970928821,朝阳市,辽宁省,三线及以下,120.0127006,41.50935797,东北
本溪市,1709538,127366,0.971067632,本溪市,辽宁省,三线及以下,124.5712365,41.23029259,东北
沈阳市,8106171,1445789,0.96787498,沈阳市,辽宁省,二线,123.1378358,42.09365977,东北
盘锦市,1392493,150922,0.968268377,盘锦市,辽宁省,三线及以下,122.0023585,41.0939187,东北
营口市,2428534,221807,0.973522026,营口市,辽宁省,三线及以下,122.4663539,40.39098329,东北
葫芦岛市,2623541,180428,0.970586605,葫芦岛市,辽宁省,三线及以下,120.1923549,40.62465802,东北
辽阳市,1858768,137080,0.968740881,辽阳市,辽宁省,三线及以下,123.2461177,41.18137516,东北
铁岭市,2717732,164973,0.974704952,铁岭市,辽宁省,三线及以下,124.1715291,42.64286101,东北
锦州市,3126463,237364,0.972797054,锦州市,辽宁省,三线及以下,121.6176248,41.47264416,东北
阜新市,1819339,113862,0.969761641,阜新市,辽宁省,三线及以下,121.9529904,42.27933731,东北
鞍山市,3645884,308288,0.968227761,鞍山市,辽宁省,三线及以下,123.0135447,40.71405031,东北
重庆市,28846170,2821222,0.969495843,重庆市,重庆市,二线,107.8578933,30.05062153,西南
